date,code,name,op,categ,quantity,price,amounts
20201127,110011.OF,易方达优质,B,F,,,-6203.41
20201217,005827.OF,易方达蓝筹,B,F,,,-33174.38
20210312,006228.OF,中欧医疗,B,F,,,-17139.54
20210408,180012.OF,银华富裕,B,F,,,-12182
20210427,002563.OF,泓德泓汇,B,F,,,-18658.65
20210526,000031.OF,华夏复兴,B,F,,,-11622.42
20210820,519736.OF,交银施罗德,B,F,,,-15853.83
20210901,162703.SZ,广发小盘,B,F,,,-15097.63
20210902,161005.SZ,富国天惠,B,F,,,-17786.94
20210906,570001.OF,诺德价值,B,F,,,-17946.37
20211102,163406.SZ,兴全合润,B,F,,,-26172.62
20220110,320007.OF,诺安成长,B,F,,,-6621.01
20220126,163402.SZ,兴全趋势,B,F,,,-16600.91
20220223,004241.OF,中欧时代,B,F,,,-10775.58
20230119,519019.OF,大成景阳,B,F,,,-1440.3
20230202,165516.SZ,信诚周期,B,F,,,-8400
20230202,162202.OF,泰达宏利,B,F,,,-8400
20230202,570008.OF,诺德周期,B,F,,,-8400
20210415,510310.SH,HS300ETF,B,S,24000,,-54003.24
20210409,511010.SH,国债ETF,B,S,100,,-12184
20210409,600031.SH,三一重工,B,S,100,,-3339.4
20210413,002352.SZ,顺丰控股,B,S,100,,-6470.65
20210420,510310.SH,HS300ETF,S,S,-2600,,6013.44
20210421,510310.SH,HS300ETF,S,S,-21400,,49559.43
20210421,510310.SH,HS300ETF,B,S,100,,-231.61
20210427,511260.SH,十年国债ETF,B,S,400,,-44629.2
20210511,159954.SZ,H股ETF,B,S,15800,,-14963.5
20210518,511260.SH,十年国债ETF,S,S,-100,,11171.8
20210520,002352.SZ,顺丰控股,S,S,-100,,7001.29
20210520,159954.SZ,H股ETF,S,S,-15800,,15309.28
20210625,511010.SH,国债ETF,S,S,-100,,12308
20210712,511260.SH,十年国债ETF,S,S,-100,,11365
20210712,601318.SH,中国平安,B,S,100,,-5958.72
20210712,601939.SH,建设银行,B,S,200,,-1274.16
20210712,513050.SH,中概互联,B,S,1000,,-1734
20210715,513050.SH,中概互联,B,S,4400,,-8008.48
20210715,511260.SH,十年国债ETF,S,S,-100,,11403.9
20210716,002714.SZ,牧原股份,B,S,100,,-5427.54
20210716,600900.SH,长江电力,B,S,200,,-3844.46
20210719,002714.SZ,牧原股份,B,S,100,,-5160.52
20210719,513050.SH,中概互联,B,S,1000,,-1764.11
20210722,600048.SH,保利地产,B,S,100,,-1128.13
20210727,513050.SH,中概互联,B,S,1000,,-1599.1
20210727,511260.SH,十年国债ETF,S,S,-100,,11434.9
20210728,513050.SH,中概互联,B,S,2600,,-4040.64
20210729,513050.SH,中概互联,B,S,1900,,-3068.68
20210729,510310.SH,HS300ETF,B,S,5400,,-12064.32
20210805,513050.SH,中概互联,B,S,1600,,-2536.15
20210816,513050.SH,中概互联,B,S,1200,,-1850.51
20210820,600048.SH,保利地产,S,S,-100,,1208.65
20210820,600900.SH,长江电力,S,S,-200,,3945.57
20210908,510310.SH,HS300ETF,S,S,-5500,,12665.74
20210922,513050.SH,中概互联,B,S,3300,,-4673.08
20211011,601318.SH,中国平安,B,S,100,,-5319.64
20211011,600031.SH,三一重工,B,S,100,,-2604.31
20211015,513050.SH,中概互联,B,S,200,,-301.42
20211022,601318.SH,中国平安,S,S,0,,176
20211022,002714.SZ,牧原股份,S,S,-100,,5694.73
20211102,510310.SH,HS300ETF,B,S,800,,-1798.51
20211109,600031.SH,三一重工,B,S,100,,-2218.26
20211110,510310.SH,HS300ETF,B,S,500,,-1120.07
20211118,513050.SH,中概互联,B,S,400,,-591.24
20211203,513050.SH,中概互联,B,S,800,,-1097.67
20211206,513050.SH,中概互联,B,S,2000,,-2654.16
20211207,510310.SH,HS300ETF,S,S,-1300,,2965.12
20211207,601939.SH,建设银行,S,S,-200,,1170.69
20211207,002714.SZ,牧原股份,B,S,100,,-4875.49
20211227,002714.SZ,牧原股份,S,S,-200,,10586.34
20220106,513050.SH,中概互联,B,S,1600,,-1920.12
20220111,510310.SH,HS300ETF,B,S,11200,,-24966.3
20220114,510310.SH,HS300ETF,B,S,11400,,-25024.5
20220127,513050.SH,中概互联,B,S,16600,,-19987.6
20220211,600031.SH,三一重工,B,S,100,,-2082.25
20220216,510310.SH,HS300ETF,B,S,2000,,-4288.26
20220221,513050.SH,中概互联,B,S,2000,,-2432.15
20220223,513050.SH,中概互联,B,S,2000,,-2384.14
20220223,510310.SH,HS300ETF,B,S,1000,,-2137.13
20220225,513050.SH,中概互联,B,S,2000,,-2346.14
20220304,513050.SH,中概互联,B,S,5000,,-5535.33
20220311,513050.SH,中概互联,B,S,2000,,-1980.12
20220315,513050.SH,中概互联,B,S,5000,,-4330.26
20220315,510310.SH,HS300ETF,B,S,2500,,-4655.28
20220421,513050.SH,中概互联,B,S,43400,,-40581.43
20220422,513050.SH,中概互联,S,S,-42900,,40066.2
20220425,510310.SH,HS300ETF,B,S,25200,,-44984.7
20220426,510310.SH,HS300ETF,S,S,-25200,,44424.93
20220505,511260.SH,十年国债ETF,B,S,200,,-23434.4
20220506,161716.SZ,招商双债LOF,B,S,26600,,-38013.68
20220510,161716.SZ,招商双债LOF,B,S,35000,,-50123.1
20220523,513050.SH,中概互联,S,S,-29000,,29810.21
20220523,513050.SH,中概互联,B,S,28700,,-29390.56
20220523,161716.SZ,招商双债LOF,S,S,-61600,,88513.89
20220527,161716.SZ,招商双债LOF,B,S,54900,,-79005.84
20220531,161716.SZ,招商双债LOF,S,S,-54900,,78941.46
20220601,512000.SH,券商ETF,B,S,1000,,-847.05
20220601,513050.SH,中概互联,B,S,1000,,-1087.07
20220601,513050.SH,中概互联,S,S,-1000,,1079.94
20220602,513050.SH,中概互联,S,S,-28900,,30545.47
20220602,510310.SH,HS300ETF,S,S,-14000,,26514.41
20220606,513050.SH,中概互联,B,S,31400,,-33788.43
20220606,510310.SH,HS300ETF,B,S,14000,,-26839.61
20220606,513050.SH,中概互联,S,S,-31400,,33564.59
20220606,510310.SH,HS300ETF,S,S,-14000,,26724.4
20220606,510310.SH,HS300ETF,B,S,14000,,-26937.62
20220606,161716.SZ,招商双债LOF,B,S,26000,,-37260.24
20220606,513050.SH,中概互联,B,S,31400,,-33725.62
20220607,510310.SH,HS300ETF,B,S,18800,,-36812.61
20220607,161716.SZ,招商双债LOF,S,S,-26000,,37229.77
20220608,513050.SH,中概互联,B,S,32100,,-37270.34
20220609,510310.SH,HS300ETF,S,S,-23400,,45908.05
20220609,600031.SH,三一重工,S,S,0,,240
20220609,513050.SH,中概互联,S,S,-46200,,55159.49
20220610,510310.SH,HS300ETF,S,S,-23500,,45587.26
20220610,513050.SH,中概互联,S,S,-46200,,52526.25
20220610,513050.SH,中概互联,B,S,100,,-113.71
20220610,510310.SH,HS300ETF,B,S,100,,-194.31
20220610,513050.SH,中概互联,B,S,43000,,-49667.98
20220610,510310.SH,HS300ETF,B,S,25600,,-49794.99
20220610,513050.SH,中概互联,B,S,85600,,-99558.77
20220610,513050.SH,中概互联,S,S,-85800,,99178.85
20220610,513050.SH,中概互联,B,S,84500,,-99124.45
20220610,513050.SH,中概互联,S,S,-84900,,99666.62
20220610,513050.SH,中概互联,B,S,85200,,-99689.98
20220610,513050.SH,中概互联,S,S,-85100,,99644.12
20220610,513050.SH,中概互联,B,S,84700,,-99613.18
20220613,511260.SH,十年国债ETF,S,S,-200,,23570
20220613,513050.SH,中概互联,S,S,-127300,,147659.14
20220613,510310.SH,HS300ETF,S,S,-25700,,50343.28
20220613,513050.SH,中概互联,B,S,191600,,-221694.5
20220613,513050.SH,中概互联,S,S,-191600,,223775.37
20220613,513050.SH,中概互联,B,S,192700,,-223738.12
20220613,513050.SH,中概互联,S,S,-192700,,223518.59
20220613,513050.SH,中概互联,B,S,207900,,-238475.61
20220613,513050.SH,中概互联,S,S,-207900,,238654.88
20220613,513050.SH,中概互联,B,S,208300,,-238726.12
20220613,513050.SH,中概互联,S,S,-208300,,238072.61
20220613,513050.SH,中概互联,B,S,208200,,-237986.88
20220613,513050.SH,中概互联,S,S,-208200,,237958.32
20220613,513050.SH,中概互联,B,S,208200,,-237986.88
20220613,513050.SH,中概互联,S,S,-208200,,237125.57
20220614,513050.SH,中概互联,B,S,213500,,-237212.73
20220614,513050.SH,中概互联,S,S,-213500,,236543.81
20220614,513050.SH,中概互联,B,S,213800,,-236476.99
20220614,513050.SH,中概互联,S,S,-213800,,236448.61
20220614,513050.SH,中概互联,B,S,30300,,-33574.41
20220614,513050.SH,中概互联,B,S,183100,,-202886.97
20220614,513050.SH,中概互联,S,S,-213400,,236433.01
20220614,513050.SH,中概互联,B,S,215300,,-236413.58
20220614,513050.SH,中概互联,S,S,-215300,,238322.8
20220615,513050.SH,中概互联,B,S,207600,,-237508.65
20220615,513050.SH,中概互联,S,S,-207600,,239763.61
20220615,513050.SH,中概互联,B,S,208300,,-240600.94
20220615,513050.SH,中概互联,S,S,-208300,,238697.48
20220615,513050.SH,中概互联,B,S,208300,,-238726.12
20220615,513050.SH,中概互联,S,S,-208300,,239322.34
20220615,513050.SH,中概互联,B,S,207500,,-239261.85
20220615,513050.SH,中概互联,S,S,-207500,,238195.71
20220615,513050.SH,中概互联,B,S,208000,,-238174.29
20220615,513050.SH,中概互联,S,S,-208000,,238561.69
20220615,513050.SH,中概互联,B,S,207700,,-238661.62
20220615,513050.SH,中概互联,S,S,-207700,,238632.98
20220615,513050.SH,中概互联,B,S,205500,,-238599.82
20220615,513050.SH,中概互联,S,S,-205500,,237543.75
20220615,513050.SH,中概互联,B,S,205500,,-237572.25
20220615,513050.SH,中概互联,S,S,-205500,,237338.26
20220615,513050.SH,中概互联,B,S,204900,,-237288.44
20220615,513050.SH,中概互联,S,S,-204900,,237464.85
20220615,513050.SH,中概互联,B,S,204200,,-237498.85
20220615,513050.SH,中概互联,S,S,-204200,,236857.79
20220615,513050.SH,中概互联,B,S,204100,,-237660.21
20220615,513050.SH,中概互联,S,S,-204100,,237149.97
20220615,513050.SH,中概互联,B,S,204800,,-237272.63
20220615,513050.SH,中概互联,S,S,-204800,,236529.81
20220616,513050.SH,中概互联,B,S,202000,,-236556.19
20220616,513050.SH,中概互联,S,S,-202000,,234709.92
20220616,513050.SH,中概互联,B,S,203400,,-234737.68
20220616,513050.SH,中概互联,S,S,-203400,,234709.52
20220616,513050.SH,中概互联,B,S,203000,,-234682.08
20220616,513050.SH,中概互联,S,S,-203000,,232827.03
20220616,513050.SH,中概互联,B,S,203700,,-232843.07
20220616,513050.SH,中概互联,S,S,-203700,,232815.13
20220616,513050.SH,中概互联,B,S,203100,,-232766.57
20220616,513050.SH,中概互联,S,S,-203100,,233144.81
20220616,513050.SH,中概互联,B,S,202100,,-233237.39
20220617,513050.SH,中概互联,S,S,-202100,,224317.54
20220617,601318.SH,中国平安,S,S,0,,300
20220622,513050.SH,中概互联,B,S,192600,,-224585.07
20220622,513050.SH,中概互联,S,S,-192600,,224365.54
20220629,513050.SH,中概互联,B,S,184900,,-223187.69
20220712,513050.SH,中概互联,S,S,-184900,,205041.8
20220713,513050.SH,中概互联,B,S,184200,,-205026.9
20220715,513050.SH,中概互联,S,S,-184200,,199108.25
20220718,513050.SH,中概互联,B,S,179700,,-199119.55
20220719,513050.SH,中概互联,S,S,-179700,,197278.76
20220720,513050.SH,中概互联,B,S,175800,,-197259.43
20220721,513050.SH,中概互联,S,S,-175800,,195477.87
20220721,513050.SH,中概互联,B,S,175800,,-195501.33
20220727,513050.SH,中概互联,S,S,-175800,,194423.13
20220727,513050.SH,中概互联,B,S,176600,,-194448.27
20220905,161716.SZ,招商双债LOF,B,S,8200,,-11956.32
20220907,162605.SZ,景顺鼎益LOF,B,S,500,,-1205.07
20220908,161716.SZ,招商双债LOF,S,S,-8200,,11963.08
20220908,163402.SZ,兴全趋势LOF,B,S,2900,,-2035.92
20220908,161005.SZ,富国天惠LOF,B,S,800,,-2223.33
20220913,161716.SZ,招商双债LOF,B,S,14700,,-21433.89
20220916,161716.SZ,招商双债LOF,S,S,-14700,,21416.62
20220919,163402.SZ,兴全趋势LOF,B,S,4500,,-3123.19
20220919,162605.SZ,景顺鼎益LOF,B,S,1200,,-2912.57
20220919,161005.SZ,富国天惠LOF,B,S,1000,,-2731.16
20220919,161005.SZ,富国天惠LOF,B,S,500,,-1365.58
20220929,163402.SZ,兴全趋势LOF,B,S,19900,,-13274.1
20220929,162605.SZ,景顺鼎益LOF,B,S,100,,-247.41
20220929,162605.SZ,景顺鼎益LOF,B,S,5100,,-12633.46
20220929,161005.SZ,富国天惠LOF,B,S,4900,,-13010.28
20221019,601318.SH,中国平安,S,S,0,,184
20221020,513050.SH,中概互联,S,S,-176600,,162579.3
20221020,159605.SZ,中概互联,B,S,259200,,-162009.72
20221130,159605.SZ,中概互联,B,S,16300,,-11948.62
20221130,159605.SZ,中概互联,S,S,-20000,,14479.13
20221130,159605.SZ,中概互联,B,S,20000,,-14520.87
20221207,159915.SZ,创业板ETF,B,S,4400,,-10375.82
20221208,159915.SZ,创业板ETF,S,S,-4400,,10286.58
20221208,513060.SH,恒生医疗ETF,B,S,26500,,-15874.45
20221208,513060.SH,恒生医疗ETF,S,S,-26500,,15846.05
20221214,513060.SH,恒生医疗ETF,B,S,26000,,-15886.95
20221216,513060.SH,恒生医疗ETF,S,S,-26000,,15261.08
20221220,513060.SH,恒生医疗ETF,B,S,9000,,-5049.3
20221220,159605.SZ,中概互联,B,S,6500,,-5083.3
20230210,159605.SZ,中概互联,B,S,10000,,-8430.51
20230210,159605.SZ,中概互联,B,S,10000,,-8460.51
20230210,165516.SZ,信诚周期,B,F,,,-998.5
20230210,162202.OF,泰达宏利,B,F,,,-998.5
20230210,570008.OF,诺德周期,B,F,,,-998.5
20230213,513060.SH,恒生医疗ETF,B,S,10000,,-6160.37
20230213,161716.SZ,招商双债LOF,B,S,65800,,-95415.72
20230217,161716.SZ,招商双债LOF,S,S,-12000,,17424
20230220,165516.SZ,信诚周期,B,F,,,-7988.02
20230220,162202.OF,泰达宏利,B,F,,,-7988.02
20230220,570008.OF,诺德周期,B,F,,,-7988.02
20230217,161716.SZ,招商双债LOF,S,S,-53800,,78063
20230223,159605.SZ,中概互联,B,S,10000,,-8050
20230303,159605.SZ,中概互联,B,S,10000,,-8260
20230306,159605.SZ,中概互联,B,S,5000,,-4110
20230307,513060.SH,恒生医疗ETF,B,S,10000,,-6040
20230309,159605.SZ,中概互联,B,S,10000,,-7880
20230310,159605.SZ,中概互联,B,S,10000,,-7490
20230313,159605.SZ,中概互联,B,S,3000,,-2280
20230314,165516.SZ,信诚周期,B,F,,,-998.5
20230316,159605.SZ,中概互联,B,S,4000,,-2968
20230316,159605.SZ,中概互联,B,S,3000,,-2220
20230320,159605.SZ,中概互联,B,S,5000,,-3715
20230323,159605.SZ,中概互联,B,S,3000,,-2298
20230330,513060.SH,恒生医疗ETF,B,S,6000,,-3258
20230406,159605.SZ,中概互联,B,S,4000,,-3176
20230411,513060.SH,恒生医疗ETF,B,S,3000,,-1710
20230411,159605.SZ,中概互联,B,S,2000,,-1590
20230412,159605.SZ,中概互联,B,S,4000,,-3120
20230413,159605.SZ,中概互联,B,S,10000,,-7550
20230414,513060.SH,恒生医疗ETF,B,S,3000,,-1776
20230417,165516.SZ,信诚周期,B,F,,,-998.5
20230417,162202.OF,泰达宏利,B,F,,,-998.5
20230417,513060.SH,恒生医疗ETF,B,S,5000,,-2945
20230418,601633.SH,长城汽车,B,S,100,,-2968
20230418,510630.SH,消费30,B ,S,1000,,-1161
20230418,159605.SZ,中概互联,B,S,2000,,-1554
20230419,159605.SZ,中概互联,B,S,3000,,-2313
20230421,159605.SZ,中概互联,B,S,1500,,-1138.5
20230421,159605.SZ,中概互联,B,S,1500,,-1135.5
20230424,159605.SZ,中概互联,B,S,5700,,-4212.3
20230424,513060.SH,恒生医疗ETF,B,S,5000,,-2810
20230425,159605.SZ,中概互联,B,S,1300,,-958.1
20230425,513060.SH,恒生医疗ETF,B,S,3000,,-1635
20230426,159605.SZ,中概互联,B,S,2000,,-1454
20230427,159605.SZ,中概互联,B,S,2000,,-1444
20230428,513060.SH,恒生医疗ETF,B,S,1500,,-837
20230419,165516.SZ,信诚周期,B,F,,,-399.4
20230420,165516.SZ,信诚周期,B,F,,,-399.4
20230421,165516.SZ,信诚周期,B,F,,,-399.4
20230424,165516.SZ,信诚周期,B,F,,,-399.4
20230425,165516.SZ,信诚周期,B,F,,,-399.4
20230426,165516.SZ,信诚周期,B,F,,,-399.4
20230427,165516.SZ,信诚周期,B,F,,,-399.4
20230428,165516.SZ,信诚周期,B,F,,,-399.4
20230504,165516.SZ,信诚周期,B,F,,,-399.4
20230505,165516.SZ,信诚周期,B,F,,,-399.4
20230419,162202.OF,泰达宏利,B,F,,,-399.4
20230420,162202.OF,泰达宏利,B,F,,,-399.4
20230421,162202.OF,泰达宏利,B,F,,,-399.4
20230424,162202.OF,泰达宏利,B,F,,,-399.4
20230425,162202.OF,泰达宏利,B,F,,,-399.4
20230426,162202.OF,泰达宏利,B,F,,,-399.4
20230427,162202.OF,泰达宏利,B,F,,,-399.4
20230428,162202.OF,泰达宏利,B,F,,,-399.4
20230504,162202.OF,泰达宏利,B,F,,,-399.4
